,AAP,AMGN,BMY,CHD,CHTR,DG,DLTR,HSY,MCD,ORLY,PM,APTV,COST,DVA,LLY,MKC,NVR,RE,SBAC,SHW,SRE,VRSK,WBA,AAPL,ABC,ATO,AZO,BDX,CBOE,FB,HRL,LMT,MDLZ,NLSN,NOW,PBCT,XYL,CDW,DGX,DUK,ED,IQV,KR,LDOS,MO,NCLH,TGT,WRB,ZTS,ATVI,GOOGL,HD,HUM,INTC,MAA,TAP,CAG,COO,EXC,INFO,NEM,RSG,SYF,SYY,T,UPS,WM,ABBV,ABT,CCI,CFG,FANG,FTV,HLT,LW,NEE,NWS,TWTR,WMT,CME,KEYS,MRK,PG,RMD,ALLE,CMG,K,KMB,PEP,SO,WLTW,BIO,BR,CL,JNJ,KO,NFLX,NLOK
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07431010825477799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049835840767726944,0.0,0.0,0.0,0.06868368228373276,0.0,0.0,0.0,0.0,0.0,0.015043594188828583,0.05725376318526818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07548161187142573,0.009627634328077008,0.06541157509325315,0.08489150001141935,0.037281314421693766,0.02661513042609425,0.03762359500647487,0.10724122643587339,0.20402074439478834,0.024577017656936987,0.06180916217366169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07473320427357935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050055897678354166,0.0,0.0,0.0,0.06903778595975193,0.0,0.0,0.0,0.0,0.0,0.015118111640055049,0.05729861309309565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547457023942156,0.009630785248308278,0.06569391018739519,0.08482172272538044,0.03861174512326904,0.026605575393120865,0.037692288596053336,0.10486926919679478,0.20378668135515984,0.024457191325773522,0.06181913203997962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07602369513637906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05291636805007309,0.0,0.0,0.0,0.0686689297390857,0.0,0.0,0.0,0.0,0.0,0.015002095513779944,0.05703103942574421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07543167764751336,0.009580918748646807,0.06550565850577908,0.08406635756772093,0.0376615895694912,0.026515367535153715,0.03696537509642819,0.10607991773161078,0.20236941549720386,0.02416706131674465,0.061723483603751926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07656782199667249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313496545348446,0.0,0.0,0.0,0.0687984203891221,0.0,0.0,0.0,0.0,0.0,0.014924039825942561,0.057015816037424435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754003553001522,0.009624060562819944,0.06409255509061045,0.08449953557856349,0.03819989481101801,0.026559168458058675,0.03668158424265695,0.10527704307209448,0.20283073303187496,0.02427672728154792,0.0618262032225711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640622787545363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05400264823182082,0.0,0.0,0.0,0.06918639403727084,0.0,0.0,0.0,0.0,0.0,0.015007432960607931,0.056813781060416124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07553242248629584,0.009668626895188064,0.0631765815393372,0.08426373592987293,0.03741085681618914,0.02652005977478299,0.03728733860293884,0.10575405375184864,0.20260241387154881,0.024259058051361627,0.06181832389333493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07646440135845134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054206814586293256,0.0,0.0,0.0,0.0695839418439178,0.0,0.0,0.0,0.0,0.0,0.01495896932202288,0.05639755732157996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07549695623838529,0.009662699113004979,0.0632797536920191,0.08384367648929436,0.037741131750898715,0.026480099595531756,0.03689191276242221,0.10615899867962687,0.20229032615806275,0.0243805954520001,0.06187305805717761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07724520664803054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05471130797805884,0.0,0.0,0.0,0.06996453695004594,0.0,0.0,0.0,0.0,0.0,0.015032546706588865,0.055797121557976365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07534079311578135,0.009674256202310584,0.06402009134842349,0.08438808338380283,0.03746821691048077,0.02672062231758316,0.037327638732207645,0.10653587499526805,0.1987095962198975,0.02464258187909762,0.062132434975092514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07711997142400392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05461839198530795,0.0,0.0,0.0,0.07170856623486756,0.0,0.0,0.0,0.0,0.0,0.015085816901719628,0.05546879867575324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07511748645950135,0.009658971917439484,0.06425466946943532,0.08415873259636442,0.03703938778363816,0.02659402620333653,0.03786877697209452,0.10597921665697341,0.19845823175262947,0.02466188534304228,0.0619190537668478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07730607796138955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05450431932305308,0.0,0.0,0.0,0.0678381046397326,0.0,0.0,0.0,0.0,0.0,0.015270693391770692,0.055605488525106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07540826527018629,0.009642808616241255,0.06400672520257764,0.08507271032917905,0.03698320328688502,0.02690624298955458,0.03783202227668771,0.10603014510446536,0.20028047107271219,0.024671173980235096,0.062353503051939776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07803627348141241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054304399220985414,0.0,0.0,0.0,0.06721489949291225,0.0,0.0,0.0,0.0,0.0,0.015498523213927013,0.053399232404962575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07564910475037127,0.009635566547388808,0.06459193756166957,0.0845205818514229,0.03765178353316983,0.026971531678901556,0.03752447333381719,0.1061533836855507,0.20160582125308196,0.02453421055758705,0.062419240148508956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07770946520755409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05523471123384522,0.0,0.0,0.0,0.06693975078397452,0.0,0.0,0.0,0.0,0.0,0.015415517962765534,0.05299131647696768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748525189277251,0.009883554380151338,0.0647191582173242,0.0847277395703231,0.036996492431698495,0.027677640435127427,0.037256633340537096,0.10532078339319431,0.2022157113783308,0.02439894112780449,0.06337176096656803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768811284724208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05460116503151881,0.0,0.0,0.0,0.06612665602068347,0.0,0.0,0.0,0.0,0.0,0.01536288556785628,0.0536542241325513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07553680662987462,0.009804951320657247,0.06496721154872591,0.08489708364221896,0.037214160235813164,0.02773365056294553,0.0372272098795065,0.10564394568315819,0.20228119338053596,0.024446717837007068,0.06333434026707511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07729123841237447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055060947146899346,0.0,0.0,0.0,0.06715996748754069,0.0,0.0,0.0,0.0,0.0,0.015474580244519559,0.05362727784664848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07615291319248826,0.009791939556656849,0.06462757965013724,0.08447296064759528,0.035825179644809316,0.027975093808423245,0.03719036051918605,0.10564876543198372,0.20184100389075593,0.023998492819828087,0.06357469079042677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772235816103747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05436220314987026,0.0,0.0,0.0,0.06763382889482628,0.0,0.0,0.0,0.0,0.0,0.01551907775261253,0.05367368862341841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07597182035143303,0.009861487255735133,0.06496569328003789,0.08439785804729419,0.035583411489935095,0.027845043346605425,0.0369323574458922,0.10562507865088082,0.20300376348998297,0.023809520410957477,0.0633054011548949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07666077115354383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054101048977404725,0.0,0.0,0.0,0.06682774656923351,0.0,0.0,0.0,0.0,0.0,0.015420293701803494,0.053660651638506675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07676131911523354,0.009943599867031111,0.06674240922005223,0.08336674083616771,0.03559374217857922,0.027584356340864986,0.03656745226205708,0.1056269207435646,0.20379693474432065,0.02391672286976862,0.06314476735472896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07641843855170655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05442037138448014,0.0,0.0,0.0,0.06877189023473644,0.0,0.0,0.0,0.0,0.0,0.015364741885322055,0.053900050116973075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07666915614810828,0.009958196627690721,0.0660015107231497,0.08385827363376978,0.03369294418083885,0.02791397987059717,0.03722828879469336,0.10549805650174678,0.2022842470541131,0.024170290041728628,0.06356350700458896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07732164914986903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05410101067767515,0.0,0.0,0.0,0.06715537882323654,0.0,0.0,0.0,0.0,0.0,0.015437270249288168,0.053525622536961845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07748084753571254,0.009995516981535675,0.0664356942698592,0.08345892555887456,0.03405379265056532,0.02808111575101169,0.0366229004281131,0.10552690597411316,0.20269299828334067,0.024016239641058496,0.06380729052621355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07811513400438623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545426562157614,0.0,0.0,0.0,0.06645697941827432,0.0,0.0,0.0,0.0,0.0,0.015573848147105022,0.05374664619857746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769634683888457,0.010009542112818084,0.06484157627346,0.08467214886989036,0.03400421110333362,0.028006168071957667,0.037030825101415824,0.10567720745192358,0.20254397097163024,0.024106249864521253,0.06342444222697073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07778689172747942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05466381613155005,0.0,0.0,0.0,0.06645044379740857,0.0,0.0,0.0,0.0,0.0,0.015394413794580324,0.05344461846404433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07701410588433684,0.010069294124812642,0.06573715329458989,0.0849539404097105,0.033329188830273984,0.02813368164728718,0.036254240002533154,0.10536853739987954,0.2035132358366822,0.023995973249621296,0.06360438046543732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
