,minimum volatility monthly,maximum sharpe ratio monthly,minimum volatility yearly,maximum sharpe ratio yearly
2013-12-05,0.5930239918756524,0.979796583098888,0.254059518795013,0.6693623227729781
2013-12-06,0.6165586398439447,0.9203066090312,0.27553687037277164,0.6763817868156421
2013-12-09,0.6139611036481896,0.899521838923931,0.27487333055496155,0.6788298331871019
2013-12-10,0.612483249133114,0.9214074894824025,0.266196110538482,0.6861975919227588
2013-12-11,0.6021294682912863,0.8890451731791498,0.25403399614334043,0.6550097746467578
2013-12-12,0.5875913973703422,0.8878727326159475,0.24436793553543024,0.6596128316993699
2013-12-13,0.5914140355348625,0.8888353967242242,0.24497396682357708,0.6684019472846972
2013-12-16,0.5940905021028555,0.9061420628848071,0.24843396800613338,0.6808368874244679
2013-12-17,0.5842962348737755,0.9143731563220021,0.24726054383468576,0.6731982521018969
2013-12-18,0.6120592551069297,0.9344972488894465,0.26316205975723217,0.7053273240547169
2013-12-19,0.6048596700525319,0.9733947844042776,0.2598360554847714,0.6876677737541186
2013-12-20,0.6112605448885002,0.9973345287013056,0.2673056809196468,0.6951905707664476
2013-12-23,0.6080154501695672,1.0249046159739494,0.26628379916763256,0.7172737327537524
2013-12-24,0.6122921363000906,1.0261333570475575,0.2704859227790828,0.7257499030799852
2013-12-26,0.6164784474058189,1.0429981653704643,0.2733603625221248,0.7343065151481616
2013-12-27,0.6147159283208885,1.0421356834330564,0.2755392003135677,0.7231078273429858
2013-12-30,0.619233535017971,1.0177421291422846,0.27734470952987644,0.7300537206077564
2013-12-31,0.6105818296136893,1.0440927770266533,0.2764901555061339,0.7336859401359548
2014-01-02,0.595189799008373,1.0122550745043752,0.2648343688087462,0.7211052482032765
2014-01-03,0.5992445182466541,0.981418756587505,0.26804941186332676,0.6916151808547963
2014-01-06,0.5971643029041325,0.9721278778071396,0.26640030845355955,0.6823672945404042
2014-01-07,0.6119919740781823,0.9810002724833484,0.27815758779334976,0.6885769363403307
2014-01-08,0.6188472027406728,0.981958851748943,0.2835935850353237,0.6869863013343798
2014-01-09,0.6301380005483663,0.9557117225069995,0.2925466541099544,0.6612644538993822
2014-01-10,0.6387728466129337,0.9869193939700123,0.2993927043142315,0.6906962192764268
2014-01-13,0.6231613087558783,0.929274325625896,0.2870110642461774,0.6381451997604355
2014-01-14,0.6439892054357566,0.9814824383006089,0.3035280515823362,0.6849176150703413
2014-01-15,0.6431265123977699,0.9886675798563951,0.30284368874835965,0.6925345772781355
2014-01-16,0.6476544991054569,0.9939529524149893,0.30643341597270957,0.697146888298033
2014-01-17,0.6457775095500979,0.9948888702273362,0.3049470432004926,0.6962711831550581
2014-01-21,0.6408881142168079,1.0035154226412768,0.301068701654434,0.7050059556999186
2014-01-22,0.6484461657743485,1.0444446543993942,0.3070607836608885,0.7432167662887554
2014-01-23,0.6329039662771256,1.026916542029857,0.2947382779922483,0.7279099657554609
2014-01-24,0.6009924592466387,0.9727255159602157,0.2694346902427671,0.6784393700599654
2014-01-27,0.5947491855897937,0.9434143357157703,0.2644849981040953,0.6501804159507736
2014-01-28,0.6068095329399141,0.990774487327098,0.27404724528789526,0.6941163774223309
2014-01-29,0.5812426212806736,0.9610300190157883,0.2537734634275437,0.6686303260345441
2014-01-30,0.605552620523456,1.019728789535045,0.2730500265188216,0.7205258969840986
2014-01-31,0.603402579297069,1.0230466983408921,0.271343069612503,0.7254759871597269
2014-02-03,0.566065551305774,0.9586119407267564,0.24173455131816857,0.6682828292160017
2014-02-04,0.5643261133747131,0.9969081550803178,0.25863601027297967,0.7035340018081646
2014-02-05,0.5650902529468567,1.0103068035845748,0.2616988796873092,0.7180854380798323
2014-02-06,0.5940898055248292,1.0535798677897446,0.28558553632831574,0.7538673008956891
2014-02-07,0.6225572088756592,1.1280021309256547,0.30714761797523504,0.8115171709098801
2014-02-10,0.6282827363414796,1.1393524708380691,0.31242791366291045,0.8137534801864605
