,datatime,volume
314,2011-04-01,4223740000
315,2011-04-04,4223740000
316,2011-04-05,3852280000
317,2011-04-06,4223740000
318,2011-04-07,4005600000
319,2011-04-08,3582810000
320,2011-04-11,3478970000
321,2011-04-12,4275490000
322,2011-04-13,3850860000
323,2011-04-14,3872630000
324,2011-04-15,4223740000
325,2011-04-18,4223740000
326,2011-04-19,3886300000
327,2011-04-20,4236280000
328,2011-04-21,3587240000
329,2011-04-25,2142130000
330,2011-04-26,3908060000
331,2011-04-27,4051570000
332,2011-04-28,4036820000
333,2011-04-29,3479070000
334,2011-05-02,3846250000
335,2011-05-03,4223740000
336,2011-05-04,4223740000
337,2011-05-05,3846250000
338,2011-05-06,4223740000
339,2011-05-09,4265250000
340,2011-05-10,4223740000
341,2011-05-11,3846250000
342,2011-05-12,3777210000
343,2011-05-13,3426660000
344,2011-05-16,3846250000
345,2011-05-17,4053970000
346,2011-05-18,3922030000
347,2011-05-19,3626110000
348,2011-05-20,4066020000
349,2011-05-23,3255580000
350,2011-05-24,3846250000
351,2011-05-25,4109670000
352,2011-05-26,3259470000
353,2011-05-27,3124560000
354,2011-05-31,4696240000
355,2011-06-01,4241090000
356,2011-06-02,3762170000
357,2011-06-03,3505030000
358,2011-06-06,3555980000
359,2011-06-07,3846250000
360,2011-06-08,3970810000
361,2011-06-09,3332510000
362,2011-06-10,3846250000
363,2011-06-13,4132520000
364,2011-06-14,3500280000
365,2011-06-15,4070500000
366,2011-06-16,3846250000
367,2011-06-17,4916460000
368,2011-06-20,3464660000
369,2011-06-21,4056150000
370,2011-06-22,3718420000
371,2011-06-23,4983450000
372,2011-06-24,3665340000
373,2011-06-27,3479070000
374,2011-06-28,3681500000
375,2011-06-29,4347540000
376,2011-06-30,4200500000
377,2011-07-01,3796930000
378,2011-07-05,3722320000
379,2011-07-06,3564190000
380,2011-07-07,4069530000
381,2011-07-08,3594360000
382,2011-07-11,3879130000
383,2011-07-12,4227890000
384,2011-07-13,4060080000
385,2011-07-14,4358570000
386,2011-07-15,4242760000
387,2011-07-18,4118160000
388,2011-07-19,4304600000
389,2011-07-20,3767420000
390,2011-07-21,4837430000
391,2011-07-22,3522830000
392,2011-07-25,3536890000
393,2011-07-26,4007050000
394,2011-07-27,3479040000
395,2011-07-28,4951800000
396,2011-07-29,5061190000
397,2011-08-01,4967390000
398,2011-08-02,5206290000
399,2011-08-03,6446940000
400,2011-08-04,4266530000
401,2011-08-05,5454590000
402,2011-08-08,2615150000
403,2011-08-09,2366660000
404,2011-08-10,5018070000
405,2011-08-11,3685050000
406,2011-08-12,5640380000
407,2011-08-15,4272850000
408,2011-08-16,5071600000
409,2011-08-17,4388340000
410,2011-08-18,3234810000
411,2011-08-19,5167560000
412,2011-08-22,5436260000
413,2011-08-23,5013170000
414,2011-08-24,5315310000
415,2011-08-25,5748420000
416,2011-08-26,5035320000
417,2011-08-29,4228070000
418,2011-08-30,4572570000
419,2011-08-31,5267840000
420,2011-09-01,4780410000
421,2011-09-02,4401740000
422,2011-09-06,5103980000
423,2011-09-07,4441040000
424,2011-09-08,4465170000
425,2011-09-09,4586370000
426,2011-09-12,5168550000
427,2011-09-13,4681370000
428,2011-09-14,4986740000
429,2011-09-15,4479730000
430,2011-09-16,5248890000
431,2011-09-19,4254190000
432,2011-09-20,4315610000
433,2011-09-21,4728550000
434,2011-09-22,6703140000
435,2011-09-23,5639930000
436,2011-09-26,4762830000
437,2011-09-27,5548130000
438,2011-09-28,4787920000
439,2011-09-29,5285740000
440,2011-09-30,4416790000
441,2011-10-03,5670340000
442,2011-10-04,3714670000
443,2011-10-05,2510620000
444,2011-10-06,5098330000
445,2011-10-07,5580380000
446,2011-10-10,4446800000
447,2011-10-11,4424500000
448,2011-10-12,5355360000
449,2011-10-13,4436270000
450,2011-10-14,4116690000
451,2011-10-17,4300700000
452,2011-10-18,4840170000
453,2011-10-19,4846390000
454,2011-10-20,4870290000
455,2011-10-21,4980770000
456,2011-10-24,4309380000
457,2011-10-25,4473970000
458,2011-10-26,4873530000
459,2011-10-27,6367610000
460,2011-10-28,4536690000
461,2011-10-31,4310210000
462,2011-11-01,5645540000
463,2011-11-02,4110530000
464,2011-11-03,4849140000
465,2011-11-04,3830650000
466,2011-11-07,3429740000
467,2011-11-08,3908490000
468,2011-11-09,4659740000
469,2011-11-10,4002760000
470,2011-11-11,3370180000
471,2011-11-14,3219680000
472,2011-11-15,3599300000
473,2011-11-16,4085010000
474,2011-11-17,4596450000
475,2011-11-18,3827610000
476,2011-11-21,4050070000
477,2011-11-22,3911710000
478,2011-11-23,3798940000
479,2011-11-25,1664200000
480,2011-11-28,3920750000
481,2011-11-29,3992650000
482,2011-11-30,5801910000
483,2011-12-01,3818680000
484,2011-12-02,4144310000
485,2011-12-05,4148060000
486,2011-12-06,3734230000
487,2011-12-07,4160540000
488,2011-12-08,4298370000
489,2011-12-09,3830610000
490,2011-12-12,3600570000
491,2011-12-13,4121570000
492,2011-12-14,4298290000
493,2011-12-15,3810340000
494,2011-12-16,5345800000
495,2011-12-19,3659820000
496,2011-12-20,4055590000
497,2011-12-21,2959020000
498,2011-12-22,3492250000
499,2011-12-23,2233830000
500,2011-12-27,2130590000
501,2011-12-28,2349980000
502,2011-12-29,2278130000
503,2011-12-30,2271850000
504,2012-01-03,3943710000
505,2012-01-04,3592580000
506,2012-01-05,4315950000
507,2012-01-06,3656830000
508,2012-01-09,3371600000
509,2012-01-10,4221960000
510,2012-01-11,3968120000
511,2012-01-12,4019890000
512,2012-01-13,3692370000
513,2012-01-17,4010490000
514,2012-01-18,4096160000
515,2012-01-19,4465890000
516,2012-01-20,3912620000
517,2012-01-23,3770910000
518,2012-01-24,3693560000
519,2012-01-25,4410910000
520,2012-01-26,4522070000
521,2012-01-27,4007380000
522,2012-01-30,3659010000
523,2012-01-31,4235550000
524,2012-02-01,4504360000
525,2012-02-02,4120920000
526,2012-02-03,4608550000
527,2012-02-06,3379700000
528,2012-02-07,3742460000
529,2012-02-08,4096730000
530,2012-02-09,4209890000
531,2012-02-10,3877580000
532,2012-02-13,3618040000
533,2012-02-14,3889520000
534,2012-02-15,4080340000
535,2012-02-16,4108880000
536,2012-02-17,3717640000
537,2012-02-21,3795200000
