,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.08355813026428223,0.0012039814973022764,0.006394433975219727,0.00013055148292964237,1,sqrt,70,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
19,0.08949828147888184,0.0010945409497046359,0.00691075325012207,0.00013151480025827255,1,sqrt,75,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 75}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
20,0.038088083267211914,0.001006364523022934,0.0033045291900634767,9.931653800577476e-05,1,log2,30,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
21,0.042952871322631835,0.00023010629712837984,0.003648996353149414,8.060565109155181e-05,1,log2,35,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 35}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
22,0.04807863235473633,0.0003766058124629735,0.0039694786071777345,5.208393422695319e-05,1,log2,40,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
23,0.05435590744018555,0.0005848835366933185,0.004378032684326172,5.332595959640857e-05,1,log2,45,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 45}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
24,0.06137118339538574,0.0017750456260056681,0.00493474006652832,0.0002251118074153402,1,log2,50,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
25,0.06669816970825196,0.0007183733800765555,0.005263710021972656,5.7174067765007735e-05,1,log2,55,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 55}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
26,0.07237033843994141,0.0010045081770273963,0.005597639083862305,0.00015493945732150083,1,log2,60,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
27,0.07764735221862792,0.0007939989561602228,0.005981349945068359,7.116378839128852e-05,1,log2,65,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 65}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
