,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.027496862411499023,0.0004926167594948045,0.003373527526855469,5.071014654103559e-05,0.05,20,"{'learning_rate': 0.05, 'n_estimators': 20}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
11,0.03989262580871582,0.0002951725001225311,0.004686212539672852,1.2511501932048267e-05,0.05,30,"{'learning_rate': 0.05, 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
12,0.05283355712890625,0.00014563570134365353,0.006154823303222656,0.00010904499547447795,0.05,40,"{'learning_rate': 0.05, 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
13,0.06596193313598633,0.0016430114519298022,0.007451105117797852,0.00020672072692487124,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
14,0.08035078048706054,0.001045722963426156,0.008995389938354493,8.468064083196027e-05,0.05,60,"{'learning_rate': 0.05, 'n_estimators': 60}",0.6746575342465754,0.6815068493150684,0.678082191780822,0.678082191780822,0.6769759450171822,0.677860942428094,0.002210682427459623,10
15,0.09449095726013183,0.002489226881003254,0.010415887832641602,0.0001988587954759354,0.05,70,"{'learning_rate': 0.05, 'n_estimators': 70}",0.6883561643835616,0.6815068493150684,0.678082191780822,0.6815068493150684,0.6769759450171822,0.6812855999623405,0.003973052567247269,9
16,0.10707197189331055,0.0025728854268846214,0.011710309982299804,0.00019140962217529788,0.05,80,"{'learning_rate': 0.05, 'n_estimators': 80}",0.6883561643835616,0.684931506849315,0.684931506849315,0.6883561643835616,0.6769759450171822,0.6847102574965872,0.0041593933725537525,7
17,0.11576099395751953,0.0007558792250401566,0.013008451461791993,0.0003454176448693445,0.05,90,"{'learning_rate': 0.05, 'n_estimators': 90}",0.6883561643835616,0.684931506849315,0.6917808219178082,0.6883561643835616,0.6769759450171822,0.6860801205102858,0.005041112431106416,6
18,0.013256978988647462,8.652175743999252e-05,0.001808023452758789,4.302054333020217e-05,0.01,10,"{'learning_rate': 0.01, 'n_estimators': 10}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
19,0.026135683059692383,0.0005970992898690626,0.0031128406524658205,0.00011875441551062636,0.01,20,"{'learning_rate': 0.01, 'n_estimators': 20}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
