,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.0012960433959960938,5.100998791449827e-05,0.00032725334167480467,2.9866759257607284e-05,21,,"{'max_depth': 21, 'max_features': None}",0.708904109589041,0.6541095890410958,0.708904109589041,0.684931506849315,0.6597938144329897,0.6833286259002965,0.023317029934981883,11
20,0.0009023189544677734,4.900220484127549e-05,0.0003170490264892578,2.6511202596441987e-05,26,auto,"{'max_depth': 26, 'max_features': 'auto'}",0.678082191780822,0.660958904109589,0.708904109589041,0.6883561643835616,0.6701030927835051,0.6812808925293037,0.01650005878478952,22
21,0.0009190559387207032,4.18149485440067e-05,0.00032196044921875,1.1823830939379404e-05,26,sqrt,"{'max_depth': 26, 'max_features': 'sqrt'}",0.6678082191780822,0.6472602739726028,0.702054794520548,0.6986301369863014,0.6460481099656358,0.672360306924634,0.024145108949463236,40
22,0.0015216827392578124,0.0004939199942606387,0.00043272972106933594,5.435839032957582e-05,26,log2,"{'max_depth': 26, 'max_features': 'log2'}",0.6952054794520548,0.6541095890410958,0.6952054794520548,0.6952054794520548,0.6426116838487973,0.6764675422492114,0.023235438844740088,37
23,0.001539897918701172,0.00010782619876600564,0.00042939186096191406,4.361874257708873e-05,26,,"{'max_depth': 26, 'max_features': None}",0.702054794520548,0.6472602739726028,0.7054794520547946,0.684931506849315,0.6597938144329897,0.67990396836605,0.022978553841810415,29
24,0.001081085205078125,4.666591643100589e-05,0.00037932395935058594,2.621780612927853e-05,31,auto,"{'max_depth': 31, 'max_features': 'auto'}",0.6986301369863014,0.6643835616438356,0.7054794520547946,0.6986301369863014,0.6460481099656358,0.6826342795273737,0.02326058178965017,18
25,0.0010440349578857422,5.353906717725098e-05,0.00037479400634765625,1.0757936642340162e-05,31,sqrt,"{'max_depth': 31, 'max_features': 'sqrt'}",0.6917808219178082,0.660958904109589,0.7054794520547946,0.702054794520548,0.6563573883161512,0.6833262721837782,0.020691158450669142,12
26,0.001154041290283203,3.717697225393371e-05,0.0003830432891845703,2.097303071960414e-05,31,log2,"{'max_depth': 31, 'max_features': 'log2'}",0.6883561643835616,0.6746575342465754,0.7123287671232876,0.6986301369863014,0.6872852233676976,0.6922515652214847,0.012594989789654568,4
27,0.0014291763305664062,5.704487245372217e-05,0.00037078857421875,7.2416479135778915e-06,31,,"{'max_depth': 31, 'max_features': None}",0.702054794520548,0.6575342465753424,0.7054794520547946,0.6815068493150684,0.6597938144329897,0.6812738313797486,0.020212737634473458,24
28,0.0011641502380371094,5.58564205790961e-05,0.00039472579956054685,3.293167358052983e-05,36,auto,"{'max_depth': 36, 'max_features': 'auto'}",0.6952054794520548,0.660958904109589,0.6952054794520548,0.702054794520548,0.6597938144329897,0.6826436943934473,0.01835611527379295,14
